text	intent	emotion
That was very kind of you!	other	positive
Do you serve pasta?	menu	none
I’m so angry right now	other	negative
See you later	farewell	none
What soups do you have?	menu	none
What’s your address?	faq	none
I’m unhappy with this	other	negative
Thanks for your help!	other	positive
Good night	farewell	none
I don’t understand what you mean	fallback	none
Are you open on public holidays?	faq	none
I’m feeling great	other	positive
Can you clarify that?	fallback	none
What drinks do you serve?	menu	none
That’s unacceptable	other	negative
I’m sorry, I don’t get that	fallback	none
Can I book a table?	faq	none
I’m feeling sad today	other	negative
What’s your special today?	menu	none
That was fantastic!	other	positive
Do you have outdoor seating?	faq	none
That’s random	fallback	none
Where can I find you?	faq	none
I really enjoyed that	other	positive
Goodbye	farewell	none
I don’t know what you mean	fallback	none
Is there a kids’ menu?	faq	none
Can you repeat that?	fallback	none
I wish I never tried this	other	negative
Hello!	greeting	none
What’s your phone number?	faq	none
I’m feeling okay	other	neutral
Do you offer delivery?	faq	none
Can I make a reservation?	faq	none
That’s fine	other	neutral
Do you take walk-ins?	faq	none
I’m really happy with this	other	positive
What’s your best selling dish?	menu	none
I’m so disappointed	other	negative
That makes no sense	fallback	none
I’m having a bad day	other	negative
What drinks do you serve?	menu	none
Can you repeat that?	fallback	none
I’m frustrated right now	other	negative
Good to see you here	greeting	none
I’m unhappy with this	other	negative
What’s your address?	faq	none
Couldn’t be happier	other	positive
Tell me your opening times	faq	none
I’m feeling great right now	other	positive
Is there a dress code?	faq	none
I’m so sad today	other	negative
What’s your best-selling dish?	menu	none
What soups do you have?	menu	none
That was very kind of you	other	positive
What time do you close?	faq	none
Can I get a burger here?	menu	none
I don’t understand	fallback	none
Do you have a wine list?	menu	none
What’s your special today?	menu	none
What’s your phone number?	faq	none
I’m really upset right now	other	negative
What’s your best dish?	menu	none
I’m feeling happy today	other	positive
See you soon	farewell	none
Thanks for your help!	other	positive
Where are you located?	faq	none
That was great!	other	positive
Have a great day	farewell	none
Is there parking?	faq	none
I’m sorry, I didn’t catch that	fallback	none
What’s on the menu?	menu	none
Do you serve coffee?	menu	none
Alright	other	neutral
What drinks do you offer?	menu	none
That’s perfect!	other	positive
I’m so upset about this	other	negative
Can you clarify?	fallback	none
Have a good day	farewell	none
Can I change my booking?	faq	none
Do you have gluten-free meals?	menu	none
I don’t understand what you mean	fallback	none
Can I get a vegan meal?	menu	none
Thanks, you’re so helpful!	other	positive
Can I book a table?	faq	none
What time do you open?	faq	none
What kind of food do you serve?	menu	none
I don’t know what you mean	fallback	none
I love this restaurant!	other	positive
That was very kind of you!	other	positive
That’s okay	other	neutral
Can I see your menu?	menu	none
I’m feeling good today	other	neutral
What dishes do you serve?	menu	none
Is there a dress code?	faq	none
Thanks!	other	positive
I’m confused	fallback	none
I’m so disappointed	other	negative
I’m feeling sad today	other	negative
Can I get a table for two?	faq	none
I don’t understand	fallback	none
Can you explain the specials?	faq	none
That’s fine	other	neutral
I’m really happy with this	other	positive
What’s your special today?	menu	none
I don’t get it	fallback	none
I’m having a bad day	other	negative
What’s your favorite dish?	menu	none
I’m really upset	other	negative
Good evening	greeting	none
I wish I never tried this	other	negative
What kind of drinks do you have?	menu	none
What are your business hours?	faq	none
What’s your best-selling dish?	menu	none
Can I make a reservation?	faq	none
I’m feeling great today	other	positive
Can I get a burger?	menu	none
Do you have vegetarian options?	faq	none
I’m so angry right now	other	negative
What desserts do you have?	menu	none
Is there outdoor seating?	faq	none
